No.1: 1.ÒÁÀûÑÇ(+48.3) 2.³©³©(-2.1) 3.yuyu(-11.5) 4.×ÏæÌ(-34.7) 
No.66: 1.³©³©(+42.4) 2.Ò»Éí(+4.5) 3.L22(-10.2) 4.³¯¾ú(-36.7) 
No.67: 1.¶Ì¶Ì(+37.4) 2.Ò»Éí(+10.5) 3.ÕÑ¾ý(-10.2) 4.»¨»¨(-37.7) 
No.68: 1.³¯¾ú(+45.8) 2.»¨»¨(+17.0) 3.L22(-22.2) 4.¶Ì¶Ì(-40.6) 
No.69: 1.»¨»¨(+52.1) 2.L22(+3.0) 3.Ò»Éí(-17.5) 4.¶Ì¶Ì(-37.6) 
No.70: 1.³©³©(+31.0) 2.Ò»Éí(0.0) 3.L22(-13.3) 4.¶Ì¶Ì(-17.7) 
No.71: 1.³¯¾ú(+35.0) 2.Ò»Éí(+10.7) 3.¼Å³¾(-18.9) 4.³õÊ¼(-26.8) 
No.72: 1.»¨»¨(+49.8) 2.¿ÈÑª(-1.0) 3.³¯¾ú(-10.3) 4.L22(-38.5) 
No.73: 1.Ò»Éí(+41.6) 2.³¯¾ú(+16.2) 3.¼Å³¾(-15.9) 4.¹ÅÈû(-41.9) 
No.74: 1.³õÊ¼(+41.3) 2.ÕÑ¾ý(+0.3) 3.»¨»¨(-8.3) 4.¶Ì¶Ì(-33.3) 
No.75: 1.³¯¾ú(+36.6) 2.Ò»Éí(-1.8) 3.¸ë×Ó(-13.2) 4.L22(-21.6) 
No.76: 1.»¨»¨(+49.8) 2.¿ÈÑª(-1.0) 3.³¯¾ú(-10.3) 4.L22(-38.5) 
No.77: 1.»¨»¨(+46.2) 2.L22(+6.5) 3.¶Ì¶Ì(-12.3) 4.Ò»Éí(-40.4) 
No.78: 1.yuyu(+52.5) 2.noname(+0.4) 3.Ò»Éí(-18.6) 4.³¯¾ú(-34.3) 
No.79: 1.³©³©(+47.2) 2.noname(+0.3) 3.yuyu(-18.5) 4.´¨ÆÕ(-29.0) 
No.80: 1.³©³©(+46.6) 2.ÔÆÓì(+11.1) 3.noname(-24.9) 4.yuyu(-32.8) 
No.81: 1.³õÊ¼(+34.7) 2.³©³©(+0.6) 3.noname(-10.2) 4.ËÄ½ã(-25.1) 
No.82: 1.Àæ»¨(+47.4) 2.³©³©(+7.0) 3.yuyu(-14.8) 4.´¨ÆÕ(-39.6) 
No.83: 1.³©³©(+32.3) 2.´óµÛ(+4.8) 3.Àæ»¨(-15.4) 4.noname(-21.7) 
No.84: 1.noname(+41.2) 2.¸ë×Ó(-6.4) 3.yuyu(-15.0) 4.³õÊ¼(-19.8) 
No.85: 1.³©³©(+73.7) 2.¸ë×Ó(-12.3) 3.yuyu(-22.7) 4.¿ÈÑª(-38.7) 
No.86: 1.¸ë×Ó(+61.3) 2.³©³©(-7.1) 3.yuyu(-17.9) 4.¿ÈÑª(-36.3) 
No.87: 1.ËÄ½ã(+63.5) 2.L22(-8.5) 3.´óµÛ(-17.5) 4.¿ÈÑª(-37.5) 
No.88: 1.³©³©(+49.3) 2.´óµÛ(+1.3) 3.¸ë×Ó(-13.2) 4.ÓñÃ×(-37.4) 
No.89: 1.³©³©(+34.8) 2.´óµÛ(+9.3) 3.yuyu(-9.7) 4.noname(-34.4) 
No.90: 1.×ÏæÌ(+31.0) 2.yuyu(+0.3) 3.¸ë×Ó(-12.8) 4.¹ù¼Î(-18.5) 
No.91: 1.¹ù¼Î(+28.8) 2.yuyu(-1.1) 3.×ÏæÌ(-10.6) 4.¸ë×Ó(-17.1) 
No.92: 1.³©³©(+70.0) 2.¿ÈÑª(-8.8) 3.yuyu(-24.3) 4.×ÏæÌ(-36.9) 
No.93: 1.yuyu(+58.6) 2.¿ÈÑª(+2.8) 3.L22(-23.5) 4.noname(-37.9) 
No.94: 1.¿ÈÑª(+37.0) 2.yuyu(+2.9) 3.L22(-11.9) 4.¹ù¼Î(-28.0) 
No.95: 1.³õÊ¼(+37.2) 2.¿ÈÑª(+11.4) 3.³©³©(-10.4) 4.ËÄ½ã(-38.2) 
No.96: 1.¿ÈÑª(+42.3) 2.noname(-1.2) 3.L22(-14.1) 4.¹ù¼Î(-27.0) 
No.97: 1.¹ù¼Î(+37.1) 2.noname(+9.3) 3.´óµÛ(-20.2) 4.¿ÈÑª(-26.2) 
No.98: 1.L22(+35.7) 2.¹ù¼Î(+3.1) 3.noname(-7.7) 4.¿ÈÑª(-31.1) 
No.99: 1.¹ù¼Î(+34.3) 2.¿ÈÑª(-1.6) 3.Àæ»¨(-11.8) 4.×ÏæÌ(-20.9) 
No.100: 1.noname(+44.9) 2.L22(+1.0) 3.´óµÛ(-19.5) 4.yuyu(-26.4) 
No.101: 1.noname(+35.9) 2.¹ù¼Î(+6.2) 3.³õÊ¼(-14.6) 4.¿ÈÑª(-27.5) 
No.102: 1.yuyu(+17.1) 2.(+11.9) 3.¹ù¼Î(-10.4) 4.noname(-18.6) 
No.103: 1.yuyu(+35.6) 2.¹ù¼Î(+15.3) 3.noname(-17.5) 4.L22(-33.4) 
No.104: 1.Àæ»¨(+78.1) 2.yuyu(-12.6) 3.¹ù¼Î(-30.4) 4.noname(-35.1) 
No.105: 1.L22(+8.1) 2.noname(+24.6) 3.¹ù¼Î(-11.7) 4.³¯¾ú(-21.0) 
No.106: 1.¹ù¼Î(+72.1) 2.Àæ»¨(-7.0) 3.³¯¾ú(-25.3) 4.Àæ»¨(-39.8) 
No.107: 1.³©³©(+13.5) 2.×ÏæÌ(+19.5) 3.°×(-9.7) 4.yuyu(-23.3) 
No.108: 1.¿ÈÑª(+29.6) 2.L22(+9.6) 3.noname(-9.7) 4.³¯¾ú(-29.5) 
No.109: 1.¹ù¼Î(+73.1) 2.¿ÈÑª(-11.1) 3.L22(-19.9) 4.noaname(-42.1) 
No.110: 1.°×(+28.0) 2.ËÄ½ã(+0.4) 3.¿ÈÑª(-9.4) 4.L22(-19.0) 
No.111: 1.³©³©(+43.7) 2.¹ù¼Î(-0.2) 3.¿ÈÑª(-17.3) 4.³©³©(-26.2) 
No.112: 1.yuyu(+32.6) 2.¿ÈÑª(+12.4) 3.L22(-17.8) 4.³õÊ¼(-27.2) 
No.113: 1.°×(+70.7) 2.³©³©(+0.2) 3.³¯¾ú(-32.1) 4.³¯¾ú(-38.8) 
No.114: 1.¹ù¼Î(+21.1) 2.¹ù¼Î(+11.4) 3.³¯¾ú(+1.8) 4.noname(-34.3) 
No.115: 1.¿ÈÑª(+26.8) 2.L22(-1.9) 3.°×(-10.0) 4.noname(-14.9) 
No.116: 1.L22(+22.8) 2.¿ÈÑª(+12.7) 3.ËÄ½ã(-12.2) 4.³©³©(-23.3) 
No.117: 1.L22(+57.9) 2.¿ÈÑª(-3.6) 3.yuyu(-14.2) 4.³¯¾ú(-40.1) 
No.118: 1.yuyu(+36.2) 2.³©³©(+8.0) 3.½¢ëà(-16.3) 4.¹ù¼Î(-27.9) 
No.119: 1.yuyu(+63.0) 2.»¨»¨(-10.2) 3.¿ÈÑª(-24.1) 4.³©³©(-28.7) 
No.120: 1.¹ù¼Î(+21.1) 2.noname(+16.2) 3.yuyu(-1.7) 4.L22(-35.6) 
No.121: 1.¿ÈÑª(+1.0) 2.yuyu(+14.4) 3.»¨»¨(+4.9) 4.³¯¾ú(-20.3) 
No.122: 1.¶Ì¶Ì(+81.3) 2.yuyu(-1.3) 3.»¨»¨(-13.4) 4.¶Ì¶Ì(-66.6) 
No.123: 1.Ò»Éí(+24.5) 2.³¯¾ú(+12.6) 3.yuyu(-12.7) 4.noname(-24.4) 
No.124: 1.Ò»Éí(+88.7) 2.L22(-9.5) 3.³©³©(-32.1) 4.L22(-47.1) 
No.125: 1.yuyu(+22.7) 2.yuyu(+22.2) 3.Àæ»¨(-8.4) 4.ÍÃÍÃ(-36.5) 
No.126: 1.ËÄ½ã(+44.1) 2.ËÄ½ã(-1.3) 3.¸ë×Ó(-17.1) 4.yuyu(-25.7) 
No.127: 1.ÄûÃÊ(+14.9) 2.³¯¾ú(+5.3) 3.yuyu(-4.9) 4.³©³©(-15.3) 
No.128: 1.ÍýÏë(+34.8) 2.Ò»Éí(+0.4) 3.L22(-14.1) 4.¿ÈÑª(-21.1) 
No.129: 1.ÍýÏë(+34.6) 2.L22(+4.8) 3.¿ÈÑª(-10.0) 4.¿ÈÑª(-29.4) 
No.130: 1.noname(+59.9) 2.Ò»Éí(-0.6) 3.L22(-16.0) 4.Ò»Éí(-43.3) 
No.131: 1.¹ù¼Î(+44.7) 2.»¨»¨(-0.5) 3.¶Ì¶Ì(-9.0) 4.³¯¾ú(-35.2) 
No.132: 1.¹ÅÈû(+59.4) 2.L22(+0.2) 3.¿ÈÑª(-26.4) 4.L22(-33.2) 
No.133: 1.L22(+16.5) 2.³¯¾ú(+6.0) 3.³©³©(-6.8) 4.noname(-15.7) 
No.134: 1.¶Ì¶Ì(+49.0) 2.Ò»Éí(-1.4) 3.»¨»¨(-11.3) 4.Ò»Éí(-36.3) 
No.135: 1.Ò»Éí(+17.4) 2.L22(+10.0) 3.noname(-9.4) 4.L22(-18.0) 
No.136: 1.L22(+59.7) 2.¶Ì¶Ì(-4.7) 3.Ò»Éí(-19.4) 4.³¯¾ú(-35.6) 
No.137: 1.³¯¾ú(+36.2) 2.³©³©(+10.0) 3.L22(-12.8) 4.»¨»¨(-33.4) 
No.138: 1.»¨»¨(+36.4) 2.L22(+2.3) 3.¶Ì¶Ì(-5.9) 4.Ðø(-32.8) 
No.139: 1.¹ù¼Î(+69.4) 2.¶Ì¶Ì(-3.7) 3.»¨»¨(-17.3) 4.Ò»Éí(-48.4) 
No.140: 1.Ðø(+42.1) 2.»¨»¨(+7.6) 3.L22(-10.5) 4.L22(-39.2) 
No.141: 1.»¨»¨(+52.9) 2.¸ë×Ó(+15.1) 3.¶Ì¶Ì(-26.4) 4.noname(-41.6) 
No.142: 1.¸ë×Ó(+46.9) 2.ÍýÏë(+9.3) 3.Ò»Éí(-15.5) 4.L22(-40.7) 
No.143: 1.»¨»¨(+49.5) 2.L22(-3.7) 3.yuyu(-16.6) 4.½¢ëà(-29.2) 
No.144: 1.yuyu(+26.4) 2.¸ë×Ó(+3.0) 3.Ò»Éí(-8.7) 4.noname(-20.7) 
No.145: 1.»¨»¨(+54.9) 2.³©³©(+2.3) 3.L22(-25.9) 4.noname(-31.3) 
No.146: 1.³¯¾ú(+32.5) 2.L22(+12.0) 3.¶Ì¶Ì(-12.5) 4.¿ÈÑª(-32.0) 
No.147: 1.¿ÈÑª(+54.0) 2.³¯¾ú(+17.1) 3.L22(-31.3) 4.»¨»¨(-39.8) 
No.148: 1.³¯¾ú(+48.1) 2.³õÊ¼(+3.3) 3.yuyu(-8.5) 4.yuyu(-42.9) 
No.149: 1.¿ÈÑª(+22.3) 2.L22(+12.6) 3.³©³©(-11.7) 4.Ò»Éí(-23.2) 
No.150: 1.¿ÈÑª(+50.1) 2.³©³©(+4.5) 3.¹ù¼Î(-14.5) 4.¼Å³¾(-40.1) 
No.151: 1.¹ù¼Î(+56.9) 2.³©³©(-2.8) 3.¿ÈÑª(-21.3) 4.L22(-32.8) 
No.152: 1.°×(+23.0) 2.¿ÈÑª(+3.7) 3.³õÊ¼(-8.3) 4.L22(-18.4) 
No.153: 1.°×(+34.9) 2.¸ë×Ó(-1.0) 3.L22(-10.8) 4.yuyu(-23.1) 
No.154: 1.³¯¾ú(+40.1) 2.°×(-3.5) 3.L22(-13.2) 4.³¯¾ú(-23.4) 
No.155: 1.³¯¾ú(+26.9) 2.»¨»¨(+6.4) 3.L22(-12.2) 4.¿ÈÑª(-21.1) 
No.156: 1.ÕÑ¾ý(+71.2) 2.³©³©(-1.7) 3.¶Ì¶Ì(-28.6) 4.L22(-40.9) 
No.157: 1.¹ù¼Î(+53.2) 2.Ò»Éí(-2.1) 3.yuyu(-12.6) 4.³©³©(-38.5) 
No.158: 1.L22(+37.0) 2.L22(+29.2) 3.³©³©(-27.9) 4.yuyu(-38.3) 
No.159: 1.Ò»Éí(+23.4) 2.¸ë×Ó(+4.4) 3.¹ù¼Î(-11.3) 4.L22(-16.5) 
No.160: 1.¹ù¼Î(+45.9) 2.¿ÈÑª(+6.4) 3.yuyu(-20.0) 4.L22(-32.3) 
No.161: 1.¿ÈÑª(+69.7) 2.¹ù¼Î(+3.6) 3.½¢ëà(-33.5) 4.Ðø(-39.8) 
No.162: 1.¹ù¼Î(+30.7) 2.Ò»Éí(-0.6) 3.×ÏæÌ(-13.0) 4.L22(-17.1) 
No.163: 1.³©³©(+52.6) 2.L22(+0.4) 3.Ò»Éí(-11.7) 4.³©³©(-41.3) 
No.164: 1.Ðø(+35.2) 2.Ò»Éí(+6.1) 3.¹ù¼Î(-12.0) 4.³¯¾ú(-29.3) 
No.165: 1.Ò»Éí(+81.2) 2.³¯¾ú(-15.5) 3.³©³©(-23.9) 4.L22(-41.8) 
No.166: 1.¿ÈÑª(-2.4) 2.Ò»Éí(+21.3) 3.L22(-3.2) 4.¿ÈÑª(-15.7) 
No.167: 1.Ò»Éí(+56.3) 2.×ÏæÌ(-2.2) 3.³©³©(-15.7) 4.¶Ì¶Ì(-38.4) 
No.168: 1.³©³©(+45.5) 2.¸ë×Ó(+1.1) 3.³õÊ¼(-16.1) 4.yuyu(-30.5) 
No.169: 1.¹ù¼Î(+16.0) 2.yuyu(+15.0) 3.L22(-8.7) 4.ÄûÃÊ(-22.3) 
No.170: 1.(+16.0) 2.(+15.0) 3.L22(-8.7) 4.(-22.3) 
No.171: 1.³©³©(+28.7) 2.³¯¾ú(+0.3) 3.Ò»Éí(-8.3) 4.L22(-20.7) 
No.172: 1.¹ù¼Î(+42.6) 2.ËÄ½ã(+0.4) 3.¿ÈÑª(-19.1) 4.L22(-23.9) 
No.173: 1.³©³©(+44.7) 2.¹ù¼Î(-0.2) 3.¿ÈÑª(-17.3) 4.³õÊ¼(-27.2) 
No.174: 1.ËÄ½ã(+37.4) 2.ÄûÃÊ(+5.4) 3.¸ë×Ó(-17.1) 4.yuyu(-25.7) 
No.175: 1.³¯¾ú(+29.3) 2.yuyu(+3.1) 3.³©³©(-11.3) 4.¿ÈÑª(-21.1) 
No.176: 1.ÍýÏë(+48.5) 2.L22(+4.8) 3.¿ÈÑª(-10.0) 4.Ò»Éí(-43.3) 
No.177: 1.ÍýÏë(+43.1) 2.Ò»Éí(+0.4) 3.L22(-14.1) 4.¿ÈÑª(-29.4) 
No.178: 1.¹ù¼Î(+42.7) 2.»¨»¨(-0.5) 3.¶Ì¶Ì(-9.0) 4.L22(-33.2) 
No.179: 1.L22(+37.1) 2.ÕÑ¾ý(+6.0) 3.³©³©(-6.8) 4.Ò»Éí(-36.3) 
No.180: 1.¸ë×Ó(+35.4) 2.ÍýÏë(+9.3) 3.Ò»Éí(-15.5) 4.½¢ëà(-29.2) 
No.181: 1.yuyu(+35.6) 2.¸ë×Ó(+3.0) 3.Ò»Éí(-8.7) 4.L22(-29.9) 
